gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1847463156	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12235929	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.528083	-97.067299	122.0						2018-05-02T13:51	2	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12235929		pronaturaveracruz_zonastempladas	2018-05-07T16:41:49	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:19:11.966Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847463111	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12235930	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.523553	-97.061462	244.0						2018-05-02T14:04	2	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12235930		pronaturaveracruz_zonastempladas	2018-05-07T16:41:50	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:19:11.854Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847462829	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12234606	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.516043	-97.065053	61.0						2018-05-02T12:27	2	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12234606		pronaturaveracruz_zonastempladas	2018-05-07T15:56:25	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:19:11.537Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847462792	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12234607	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.507071	-97.065838	8.0						2018-05-02T12:47	2	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12234607		pronaturaveracruz_zonastempladas	2018-05-07T15:56:26	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T06:48:12.741Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847462706	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12234610	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.506732	-97.06742	31.0						2018-05-02T12:27	2	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12234610		pronaturaveracruz_zonastempladas	2018-05-07T15:56:27	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:19:11.576Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1847462687	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/12234608	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.51666	-97.06413	15.0						2018-05-02T12:32	2	5	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	12234608		pronaturaveracruz_zonastempladas	2018-05-07T15:56:26	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T06:48:12.593Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1837767140	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/10597547	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.891634	-99.791695							2018-02-11T12:01:16	11	2	2018	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	10597547		Carlos G Velazco-Macias	2018-04-03T19:46:04	CC_BY_NC_4_0	Carlos G Velazco-Macias	Carlos G Velazco-Macias			2026-04-18T10:06:05.607Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1805412389	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/9510127	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.534394	-97.0701							2017-10-12T12:35	12	10	2017	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	9510127		pronaturaveracruz_zonastempladas	2018-01-17T19:15:49	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:18:49.068Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1677309956	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8432932	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.532813	-97.067309	352.0						2017-09-14T12:05	14	9	2017	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	8432932		pronaturaveracruz_zonastempladas	2017-10-16T22:36:50	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T06:47:40.205Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1677309934	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8432931	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.542397	-97.070978	499.0						2017-10-12T12:38	12	10	2017	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	8432931		pronaturaveracruz_zonastempladas	2017-10-16T22:36:49	CC_BY_NC_4_0	pronaturaveracruz_zonastempladas	pronaturaveracruz_zonastempladas			2026-04-18T08:18:37.397Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
1586924624	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://conabio.inaturalist.org/observations/7311150	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Oaxaca	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	17.403263	-96.503896	8.0						2017-02-04T13:15	4	2	2017	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	7311150		Diego Manzano Méndez	2017-08-01T20:51:24	CC_BY_NC_4_0	Diego Manzano Méndez	Diego Manzano Méndez			2026-04-18T10:05:33.176Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
